Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Địa chỉ,latitude,longitude,url
"55,6 m²","1,52 tỷ",,,,Tây - Nam,,2 phòng,1 phòng,,Cơ bản,14/10/2024,29/10/2024,Tin VIP Kim Cương,41005124,"Dự án Phú Đông SkyOne, Đường Vũng Thiện, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",10.9280843734741,106.752738952637,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vung-thien-phuong-tan-dong-hiep-prj-phu-dong-skyone/-gia-tu-1-5-ty-thanh-toan-9tr-thang-cam-ket-thue-lai-8-10tr-thang-o-trung-tam-tp-di-an-pr41005124
"69,7 m²","2,67 tỷ",,,,Tây - Bắc,,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,14/10/2024,29/10/2024,Tin VIP Kim Cương,41003332,"Dự án Phú Đông Sky Garden, Đường An Bình, Phường An Bình, Dĩ An, Bình Dương",10.8722543716431,106.753570556641,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-an-binh-phuong-an-binh-prj-phu-dong-sky-garden/mo-ban-sap-ban-giao-gia-tu-2-ty-6-chiet-khau-15-pr41003332
69 m²,"2,7 tỷ",,,Đông - Bắc,Tây - Nam,,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,24/10/2024,31/10/2024,Tin VIP Kim Cương,41070248,"Dự án Phú Đông Sky Garden, Đường An Bình, Phường An Bình, Dĩ An, Bình Dương",10.8722543716431,106.753570556641,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-an-binh-phuong-an-binh-prj-phu-dong-sky-garden/ban-pham-van-lien-ke-tp-thu-duc-chiet-khau-15-thanh-toan-truoc-600tr-nhan-nha-pr41070248
79 m²,24 triệu/m²,,,,,,2 phòng,2 phòng,Có sổ.,,23/10/2024,02/11/2024,Tin thường,40457271,"C SkyView, 212, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.9737367630005,106.665023803711,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/so-huu-resort-5-sao-ngay-thanh-p-thu-dau-mot-gia-hi-tu-23tr-m2-nghia-pr40457271
57 m²,"26,5 triệu/m²",,,Tây - Bắc,Đông - Nam,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,21/10/2024,31/10/2024,Tin thường,40344570,"Dự án C-SkyView, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.9707775115967,106.665229797363,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/duy-nhat-8-uoi-ung-thu-dau-mot-k-30-ho-gio-hang-ua-dt-1-8-ty-lh-pr40344570
79 m²,24 triệu/m²,,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,21/10/2024,31/10/2024,Tin thường,37521990,"Dự án C-SkyView, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.97077751159668,106.66522979736328,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/mua-2-ngu-du-an-gia-hi-25tr-m2-dt-63m2-lh-0985901718-pr37521990
79 m²,25 triệu/m²,,,,,,2 phòng,1 phòng,,,21/10/2024,31/10/2024,Tin thường,40451331,"Dự án C-SkyView, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.9707775115967,106.665229797363,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/-ao-ap-du-an-dt-80m2-1-9-ty-lh-hinh-hu-pr40451331
79 m²,"1,9 tỷ",,,,,,2 phòng,1 phòng,,,20/10/2024,30/10/2024,Tin thường,40451325,"Dự án C-SkyView, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.9707775115967,106.665229797363,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/ban-2-ngu-du-an-dt-80m2-1-ty-9-lh-pr40451325
79 m²,25 triệu/m²,,,,,,2 phòng,1 phòng,Có sổ đỏ/hồng.,,20/10/2024,30/10/2024,Tin thường,40343089,"Dự án C-SkyView, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.97077751159668,106.66522979736328,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/ban-2-ngu-du-an-dt-80m2-25-trieu-m2-lh-pr40343089
79 m²,24 triệu/m²,,,,,,2 phòng,2 phòng,,,20/10/2024,30/10/2024,Tin thường,40453736,"C-SkyView, 212, Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",10.9707775115967,106.665229797363,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-chanh-nghia-prj-c-skyview/so-huu-resort-5-sao-ngay-thanh-p-thu-dau-mot-gia-hi-tu-25tr-m2-lh-pr40453736
